StationID,TypeID,MeasurementDate,Value,QualityFlag
US1FLHB0187,1,2026-01-01,0.0,Good
US1FLHB0187,1,2026-01-02,0.0,Good
US1FLHB0187,1,2026-01-04,0.12,Good
US1FLHB0187,1,2026-01-06,0.0,Good
US1FLHB0187,1,2026-01-07,0.0,Good
US1FLHB0187,1,2026-01-08,0.0,Good
US1FLHB0187,1,2026-01-11,0.0,Good
US1FLHB0187,1,2026-01-12,0.0,Good
US1FLHB0187,1,2026-01-13,0.0,Good
US1FLHB0187,1,2026-01-15,0.14,Good
US1FLHB0187,1,2026-01-18,0.0,Good
US1FLHB0187,1,2026-01-19,0.0,Good
US1FLHB0187,1,2026-01-21,0.0,Good
US1FLHB0187,1,2026-01-22,0.0,Good
US1FLHB0187,1,2026-01-23,0.0,Good
US1FLHB0187,1,2026-01-25,0.0,Good
US1FLHB0187,1,2026-01-26,0.0,Good
US1FLHB0187,1,2026-01-27,0.18,Good
US1FLHB0187,1,2026-01-28,0.0,Good
US1FLHB0187,1,2026-01-31,0.03,Good
US1FLHB0187,1,2026-02-08,0.0,Good
US1FLHB0187,1,2026-02-10,0.0,Good
US1FLHB0187,1,2026-02-11,0.0,Good
US1FLHB0187,1,2026-02-12,0.0,Good
US1FLHB0187,1,2026-02-13,0.0,Good
US1FLHB0187,1,2026-02-22,0.15,Good
US1FLHB0187,1,2026-02-25,0.0,Good
US1FLHB0187,1,2026-02-26,0.0,Good
US1FLHB0187,1,2026-02-27,0.0,Good
US1FLHB0187,1,2026-02-28,0.42,Good
US1FLHB0187,1,2026-03-02,0.0,Good
US1FLHB0187,1,2026-03-03,0.0,Good
US1FLHB0187,1,2026-03-04,0.0,Good
US1FLHB0187,1,2026-03-05,0.0,Good
US1FLHB0187,1,2026-03-06,0.41,Good
US1FLHB0187,1,2026-03-07,0.0,Good
US1FLHB0187,1,2026-03-08,0.17,Good
US1FLHB0187,1,2026-03-10,0.0,Good
US1FLHB0187,1,2026-03-12,0.0,Good
US1FLHB0187,1,2026-03-13,0.0,Good
US1FLHB0187,1,2026-03-14,0.55,Good
US1FLHB0187,1,2026-03-16,1.26,Good
US1FLHB0187,1,2026-03-17,0.12,Good
US1FLHB0187,1,2026-03-18,0.0,Good
US1FLHB0187,1,2026-03-19,0.0,Good
US1FLHB0187,1,2026-03-21,0.0,Good
US1FLHB0187,1,2026-03-23,0.0,Good
US1FLHB0187,1,2026-03-24,0.0,Good
US1FLHB0187,1,2026-03-25,0.0,Good
US1FLPN0134,1,2026-01-04,0.48,Good
US1FLPN0134,1,2026-01-05,0.0,Good
US1FLPN0134,1,2026-01-12,0.05,Good
US1FLPN0134,1,2026-02-01,0.03,Good
US1FLPN0134,1,2026-02-05,0.2,Good
US1FLPN0134,1,2026-02-06,0.0,Good
US1FLPN0134,1,2026-02-16,0.03,Good
US1FLPN0134,1,2026-02-28,1.07,Good
US1FLPN0134,1,2026-03-05,0.01,Good
US1FLPN0134,1,2026-03-06,0.15,Good
US1FLPN0134,1,2026-03-07,0.0,Good
US1FLPN0134,1,2026-03-08,0.16,Good
US1FLPN0134,1,2026-03-13,0.14,Good
US1FLPN0134,1,2026-03-14,0.09,Good
US1FLPN0134,1,2026-03-17,0.32,Good
US1FLMN0077,1,2026-01-03,0.0,Good
US1FLMN0077,1,2026-01-04,0.0,Good
US1FLMN0077,1,2026-01-05,0.0,Good
US1FLMN0077,1,2026-01-06,0.0,Good
US1FLMN0077,1,2026-01-07,0.0,Good
US1FLMN0077,1,2026-01-11,0.19,Good
US1FLMN0077,1,2026-01-12,0.0,Good
US1FLMN0077,1,2026-01-13,0.0,Good
US1FLMN0077,1,2026-01-14,0.01,Good
US1FLMN0077,1,2026-01-15,0.02,Good
US1FLMN0077,1,2026-01-16,0.13,Good
US1FLMN0077,1,2026-01-17,0.0,Good
US1FLMN0077,1,2026-01-18,0.0,Good
US1FLMN0077,1,2026-01-19,0.0,Good
US1FLMN0077,1,2026-01-20,0.0,Good
US1FLMN0077,1,2026-01-23,0.0,Good
US1FLMN0077,1,2026-01-24,0.0,Good
US1FLMN0077,1,2026-01-25,0.0,Good
US1FLMN0077,1,2026-01-26,0.0,Good
US1FLMN0077,1,2026-01-27,0.0,Good
US1FLMN0077,1,2026-01-28,0.0,Good
US1FLMN0077,1,2026-01-29,0.0,Good
US1FLMN0077,1,2026-01-30,0.13,Good
US1FLMN0077,1,2026-01-31,0.09,Good
US1FLMN0077,1,2026-02-01,0.03,Good
US1FLMN0077,1,2026-02-02,0.0,Good
US1FLMN0077,1,2026-02-03,0.0,Good
US1FLMN0077,1,2026-02-04,0.0,Good
US1FLMN0077,1,2026-02-05,0.0,Good
US1FLMN0077,1,2026-02-06,0.07,Good
US1FLMN0077,1,2026-02-07,0.0,Good
US1FLMN0077,1,2026-02-08,0.0,Good
US1FLMN0077,1,2026-02-09,0.0,Good
US1FLMN0077,1,2026-02-10,0.0,Good
US1FLMN0077,1,2026-02-11,0.0,Good
US1FLMN0077,1,2026-02-12,0.0,Good
US1FLMN0077,1,2026-02-13,0.0,Good
US1FLMN0077,1,2026-02-14,0.0,Good
US1FLMN0077,1,2026-02-15,0.0,Good
US1FLMN0077,1,2026-02-23,0.0,Good
US1FLMN0077,1,2026-02-25,0.0,Good
US1FLMN0077,1,2026-02-26,0.0,Good
US1FLMN0077,1,2026-02-28,0.0,Good
US1FLMN0077,1,2026-03-01,0.0,Good
US1FLMN0077,1,2026-03-02,0.0,Good
US1FLMN0077,1,2026-03-03,0.0,Good
US1FLMN0077,1,2026-03-04,0.0,Good
US1FLMN0077,1,2026-03-05,0.64,Good
US1FLMN0077,1,2026-03-06,0.01,Good
US1FLMN0077,1,2026-03-07,0.04,Good
US1FLMN0077,1,2026-03-09,0.0,Good
US1FLMN0077,1,2026-03-10,0.0,Good
US1FLMN0077,1,2026-03-11,0.0,Good
US1FLMN0077,1,2026-03-17,1.31,Good
US1FLMN0077,1,2026-03-18,0.11,Good
US1FLMN0077,1,2026-03-19,0.01,Good
US1FLMN0077,1,2026-03-20,0.0,Good
US1FLMN0077,1,2026-03-21,0.02,Good
US1FLMN0077,1,2026-03-22,0.0,Good
US1FLMN0077,1,2026-03-23,0.0,Good
